Exchange,Wallet,Address,Balance_XRP,Unique_Tags,Tagged_TX,Tag_Rate
robinhood,Robinhood1,rEAKseZ7yNgaDuxH74PkqB12cVWohpi7R6,829344,36,70,100.0%
robinhood,Robinhood2,r4ZuQtPNXGRMKfPjAsn2J7gRqoQuWnTPFP,41578,3,6,42.9%
bitflyer,BitFlyer 3,rpY7bZBkA98P8zds5LdBktAKj9ifekPdkE,674204,2,110,100.0%
bitflyer,BitFlyer 4,rhWVCsCXrkwTeLBg6DyDr7abDaHz3zAKmn,189926164,2,2,0.5%
bitpoint,BitPoint 1,rwPbLSqTDYwvCsGZEzDTNo3SgzCwEjQdWZ,22446,0,0,0.0%
bitpoint,BitPoint 2,rfmMjAXq65hpAxEf1RLNQq6RgYTSVkQUW5,10476048,161,790,98.9%
bitget,Bitget Global,rGDreBvnHrX1get7na3J4oowN19ny4GzFn,1832985,399,487,100.0%
bitso,Bitso 3,rLSn6Z3T8uCxbcd1oxwfGQN1Fdn5CyGujK,3503582,72,103,100.0%
binance,Binance 1,rEb8TK3gBgk5auZkwc6sHnwrGVJH8DuaLh,100,28,592,100.0%
binance,Binance 10,rNU4eAowPuixS5ZCWaRL72UUeKgxcKExpK,9095925,0,0,N/A
binance,Binance 11,rNxp4h8apvRis6mJf9Sh8C6iRxfrDWN7AV,152931,617,764,100.0%
binance,Binance 12,rPJ5GFpyDLv7gqeB1uZVUBwDwi41kaXN5A,43237193,7,599,91.3%
binance,Binance 13,rPz2qA93PeRCyHyFCqyNggnyycJR1N4iNf,12666766,7,9,9.8%
binance,Binance 14,rhWj9gaovwu2hZxYW7p388P8GRbuXFLQkK,14799329,0,0,0.0%
binance,Binance 15,rarG6FaeYhnzSKSS5EEPofo4gFsPn2bZKk,13094759,0,0,0.0%
binance,Binance 5,rs8ZPbYqgecRcDzQpJYAMhSxSi5htsjnza,1759318331,10,12,4.9%
binance,Binance 6,rDAE53VfMvftPB4ogpWGWvzkQxfht6JPxr,20984803,0,0,0.0%
binance,Binance 18,rfQ9EcLkU6WnNmkS3EwUkFeXeN47Rk8Cvi,9066827,0,0,N/A
binance,Binance 9,rBtttd61FExHC68vsZ8dqmS3DfjFEceA1A,9444391,0,0,N/A
binance,Binance 21,rLoqMgpjwGEQinYEM623za8c2nC2Uah8v7,23078,0,0,0.0%
binance,Binance 22,rQUp2PKzH3vCtKs5H9tsPPE1rTsN6fhjqn,10096631,1,1,0.3%
binance,Binance US 1,rEeEWeP88cpKUddKk37B2EZeiHBGiBXY3,123,3,3,27.3%
binance,Binance US 2,rMvYS27SYs5dXdFsUgpvv1CSrPsCz7ePF5,100,75,379,98.7%
binance,Binance US 3,r3ZVNKgkkT3A7hbEZ8HxnNnLDCCmZiZECV,12368563,0,0,0.0%
binance,Binance US 4,rPCpZwPKogNodbjRxGDnefVXu9Q9R4PN4Q,54465,71,785,99.2%
binance,Binance 17,rP3mUZyCDzZkTSd1VHoBbFt8HGm8fyq8qV,153123360,24,28,80.0%
binance,Binance 16,rDecw8UhrZZUiaWc91e571b3TL41MUioh7,77997462,0,0,0.0%
binance,Binance (XRP-BF2 Reserve),rJpj1Mv21gJzsbsVnkp1U4nqchZbmZ9pM5,325800010,3,3,18.8%
binance,Binance Charity2,rfxbaKNt5SnMw5rPRRm4C53YK76MEnVXro,1618393,2,7,13.0%
bitpanda,Bitpanda1,rUEfYyerfok6Yo38tTTTZKeRefNh9iB1Bd,1375,1,1,2.2%
bitpanda,Bitpanda2,rhVWrjB9EGDeK4zuJ1x2KXSjjSpsDQSaU6,5443,384,747,100.0%
bitpanda,Bitpanda3,r3T75fuLjX51mmfb5Sk1kMNuhBgBPJsjza,4656,257,685,100.0%
bitpanda,Bitpanda4,rbrCJQZVk6jYra1MPuSvX3Vpe4to9fAvh,201613,0,0,0.0%
bitstamp,Bitstamp1,rDsbeomae4FXwgQTJp9Rs64Qg9vDiTCdBv,20567368,88,361,100.0%
bitstamp,Bitstamp2,rUobSiUpYH2S97Mgb4E7b7HuzQj2uzZ3aD,51,2,10,4.0%
bitstamp,Bitstamp3,rBMFF7vhe2pxYS5wo3dpXMDrbbRudB7hGf,37,0,0,N/A
bitstamp,Bitstamp,rEXmdJZRfjXN3XGVdz99dGSZpQyJqUeirE,1,39,556,100.0%
bitbank,Bitbank1,rLbKbPyuvs4wc1h13BEPHgbFGsRXMeFGL6,466,15,15,57.7%
bitbank,Bitbank2,rw7m3CtVHwGSdhFjV4MyJozmZJv3DYQnsA,575063863,383,575,100.0%
bitbank,Bitbank3,rwggnsfxvCmDb3YP9Hs1TaGvrPR7ngrn7Z,11,1,3,3.0%
bitbank,Bitbank4,r97KeayHuEsDwyU1yPBVtMLLoQr79QcRFe,758427,0,0,0.0%
bitfinex,Bitfinex1,rLW9gnQo7BQhU6igk5keqYnH3TVrCxGRzm,12479642,55,277,100.0%
bitfinex,Bitfinex2,rE3hWEGquaixF2XwirNbA1ds4m55LxNZPk,35771062,2,8,1.3%
bitrue,Bitrue1,rKq7xLeTaDFCg9cdy9MmgxpPWS8EZf2fNq,22,16,34,94.4%
bitrue,Bitrue2,raLPjTYeGezfdb6crXZzcC8RkLBEwbBHJ5,4,399,460,98.9%
bitrue,Bitrue3,rfKsmLP6sTfVGDvga6rW6XbmSFUzc3G9f3,293529,204,418,100.0%
bitrue,Bitrue Insurance Fund,rNYW2bie6KwUSYhhtcnXWzRy5nLCa1UNCn,25038857,2,38,53.5%
bitrue,Bitrue Cold2,r4DbbWjsZQ2hCcxmjncr7MRjpXTBPckGa9,88196139,5,385,88.5%
bithumb,Bithumb1,rPMM1dRp7taeRkbT74Smx2a25kTAHdr4N5,20,2,51,12.4%
bithumb,Bithumb2,rNTkgxs5WG5mU5Sz26YoDVrHim5Y5ohC7,11,222,380,98.2%
bithumb,Bithumb3,r9hUMZBc3MWRc4YdsdZgNCW5Qef8wNSXpb,20,0,0,0.0%
bithumb,Bithumb4,r9LHiNDZvpLoWPoKnbH2JWjFET8zoYT4Y5,20,0,0,0.0%
bithumb,Bithumb,rD7XQw67JWBXuo2WPX2gZRsGKNsDUGTbx5,11,0,0,0.0%
bithumb,Bithumb10,rZcBQae9iSJqFYBpNCfxGLXH7xuEzizxR,0,103,115,77.7%
bithumb,Bithumb11,rrsSUzrT2mYAMiL46pm7cwn6MmMmxVkEWM,407,2,2,66.7%
bithumb,Bithumb12,rPyCQm8E5j78PDbrfKF24fRC7qUAk1kDMZ,1842012127,0,0,0.0%
bithumb,Bithumb13,rw3fRcmn5PJyPKuvtAwHDSpEqoW2JKmKbu,7174057,375,375,93.5%
bitkub,Bitkub 3,rE3Cc3i6163Qzo7oc6avFQAxQE4gyCWhGP,9539125,20,82,98.8%
BTC Markes,BTC Markets 1,r94JFtstbXmyG21h3RHKcNfkAHxAQ6HSGC,2,11,371,95.1%
